YEAR,ROUND,CONF_1,TEAM_1,SEED_1,SEED_2,CONF_2,TEAM_2,SCORE_diff,K TEMPO_diff,KADJ T_diff,K OFF_diff,KADJ O_diff,K DEF_diff,KADJ D_diff,KADJ EM_diff,BADJ EM_diff,BADJ O_diff,BADJ D_diff,BARTHAG_diff,GAMES_diff,W_diff,L_diff,WIN%_diff,EFG%_diff,EFG%D_diff,FTR_diff,FTRD_diff,TOV%_diff,TOV%D_diff,OREB%_diff,DREB%_diff,OP OREB%_diff,OP DREB%_diff,RAW T_diff,2PT%_diff,2PT%D_diff,3PT%_diff,3PT%D_diff,BLK%_diff,BLKED%_diff,AST%_diff,OP AST%_diff,2PTR_diff,3PTR_diff,2PTRD_diff,3PTRD_diff,BADJ T_diff,AVG HGT_diff,EFF HGT_diff,EXP_diff,TALENT_diff,FT%_diff,OP FT%_diff,PPPO_diff,PPPD_diff,ELITE SOS_diff,WAB_diff,POWER RATING_diff,POWER_diff,PATH_diff,DRAW_diff,WINS_diff,POOL VALUE_diff,POWER-PATH_diff,NET RPI_diff,RESUME_diff,ELO_diff,B POWER_diff,Q1 W_diff,Q2 W_diff,Q1 PLUS Q2 W_diff,Q3 Q4 L_diff,PLUS 500_diff,R SCORE_diff,DUNKS FG%_diff,DUNKS SHARE_diff,DUNKS FG%D_diff,DUNKS D SHARE_diff,CLOSE TWOS FG%_diff,CLOSE TWOS SHARE_diff,CLOSE TWOS FG%D_diff,CLOSE TWOS D SHARE_diff,FARTHER TWOS FG%_diff,FARTHER TWOS SHARE_diff,FARTHER TWOS FG%D_diff,FARTHER TWOS D SHARE_diff,THREES FG%_diff,THREES SHARE_diff,THREES FG%D_diff,THREES D SHARE_diff,target
2024,64,SEC,Kentucky,11.0,54.0,Horz,Oakland,,5.89,5.973,8.554,14.149,0.495,-3.052,17.201,17.593,15.192,-2.401,0.308,-2.0,0.0,-2.0,4.228,5.3,-1.1,-0.5,6.6,-2.0,-0.3,-1.7,-1.6,1.6,1.7,5.9,2.9,-0.7,6.1,-1.3,8.2,0.9,1.3,-10.5,3.5,-3.5,0.8,-0.8,5.736,2.319,3.16,-1.589,66.697,1.5,-1.5,0.09,0.011,14.111,7.1,,27.6,-14.8,,0.0,47.0,42.4,-107.0,-94.0,-56.0,-114.5,5.0,1.0,6.0,-5.0,4.0,99.4,-5.0,4.0,-5.3,1.8,-1.3,8.0,2.1,7.7,3.7,-4.5,-9.3,-6.9,6.1,-3.5,-1.3,-0.8,
2024,64,BE,Creighton,10.0,55.0,MAC,Akron,,1.201,1.136,8.524,13.082,0.907,-5.381,18.462,20.66,15.567,-5.093,0.333,0.0,1.0,-1.0,3.125,5.5,-2.2,-9.1,-12.8,-1.9,-5.4,-3.6,1.0,-1.0,3.6,1.3,5.8,-5.0,4.1,2.2,0.6,1.3,10.4,-4.5,-7.4,7.4,9.6,-9.6,1.249,1.724,2.601,-0.262,41.914,5.7,9.3,0.084,0.01,21.298,8.9,,27.3,-14.7,,0.0,52.7,42.0,-95.0,-122.0,-86.0,-101.5,8.0,5.0,13.0,-4.0,2.0,99.74,-8.3,5.1,-6.6,-2.4,4.8,-3.0,-5.2,-4.3,6.2,-4.3,-0.3,13.8,4.1,7.4,2.2,-9.6,
2024,64,SEC,Auburn,16.0,49.0,Ivy,Yale,,5.345,5.266,6.939,9.754,-6.373,-9.676,19.43,18.873,10.868,-8.005,0.213,5.0,7.0,-2.0,10.446,1.8,-6.3,11.3,12.0,0.8,2.2,4.5,-6.3,6.3,-4.5,5.4,2.4,-6.0,0.6,-4.2,6.0,0.0,8.7,-14.5,-2.2,2.2,8.1,-8.1,5.219,-0.509,0.466,0.285,33.957,4.5,-0.2,0.072,-0.062,11.838,8.0,,24.2,-12.1,,0.0,47.2,36.3,-78.0,-78.0,-48.0,-68.0,3.0,7.0,10.0,-4.0,9.0,99.37,-6.2,10.2,1.8,1.2,2.4,2.6,-10.4,9.9,-0.8,-4.7,-3.2,-1.9,0.6,2.2,-4.2,-8.1,
2024,64,SEC,Alabama,13.0,52.0,CAA,College of Charleston,,4.434,2.87,7.291,11.865,3.834,-3.01,14.876,14.998,11.824,-3.174,0.211,-1.0,-5.0,4.0,-13.163,3.9,-0.7,8.3,11.3,1.7,-0.8,1.4,-3.3,3.3,-1.4,4.5,5.0,0.6,1.7,-1.9,2.0,2.5,-2.1,2.3,0.3,-0.3,0.2,-0.2,2.555,0.708,1.3,0.306,22.312,6.2,3.7,0.069,0.041,25.119,5.0,,20.2,-9.6,,0.0,35.9,29.8,-86.0,-94.0,-5.0,-86.0,4.0,6.0,10.0,-4.0,-8.0,99.34,-11.0,1.9,3.2,3.9,-1.9,8.1,-6.5,4.4,5.9,-7.8,5.5,-4.3,1.7,-0.3,-1.9,-0.2,
2024,64,ACC,Duke,14.0,51.0,AE,Vermont,,2.25,3.445,10.696,14.705,2.252,-3.195,17.9,18.129,16.274,-1.855,0.268,0.0,-2.0,2.0,-6.25,3.4,2.3,4.1,1.7,0.5,1.8,9.4,-2.6,2.6,-9.4,2.2,1.3,2.7,4.2,1.1,-1.1,1.2,1.7,7.5,6.7,-6.7,1.0,-1.0,3.556,1.324,3.001,-1.157,87.337,-0.1,-3.5,0.104,0.025,16.748,4.5,,29.3,-15.8,,0.0,75.8,45.1,-93.0,-105.0,-20.0,-84.5,5.0,4.0,9.0,-4.0,-4.0,99.71,7.3,2.4,2.4,4.9,3.0,6.7,3.5,-2.1,-3.7,0.0,3.3,3.0,4.2,-6.7,1.1,-1.0,
2024,64,B12,Kansas,15.0,50.0,SC,Samford,,-4.152,-3.539,-6.701,0.299,-1.752,-9.134,9.433,11.506,1.807,-9.699,0.179,-1.0,-6.0,5.0,-16.633,-3.5,-2.4,-3.6,-8.5,-1.7,-4.9,-4.9,5.6,-5.6,4.9,-4.1,-0.7,-4.2,-6.0,-0.1,0.4,-3.6,9.1,-2.4,11.2,-11.2,-1.0,1.0,-3.687,3.105,3.016,0.006,49.38,0.3,0.8,-0.071,-0.02,25.895,4.23,,20.1,-8.3,,0.0,27.1,28.4,-53.0,-102.0,11.0,-68.0,7.0,4.0,11.0,-2.0,-10.0,99.34,10.3,4.6,11.1,0.3,6.0,-4.9,1.1,-9.1,-1.7,16.1,-4.5,8.0,-6.0,-11.2,-0.1,1.0,
2024,64,MWC,San Diego St.,17.0,48.0,Amer,UAB,,-1.683,-1.815,-2.37,-0.132,-10.577,-13.549,13.418,11.223,-1.193,-12.416,0.216,-1.0,0.0,-1.0,2.083,-0.3,-3.8,-3.0,1.9,-0.7,1.9,-2.6,3.0,-3.0,2.6,-1.7,1.2,-1.9,-1.8,-4.5,-0.4,-1.1,1.2,-0.3,-6.5,6.5,-3.8,3.8,-1.632,0.49,0.072,0.29,21.68,-1.4,-2.1,-0.025,-0.102,12.628,5.3,,15.8,-6.0,,0.0,11.7,21.8,-85.0,-69.0,-33.0,-85.0,4.0,-1.0,3.0,-4.0,4.0,97.97,-5.2,-1.0,7.7,-2.2,2.9,-9.3,-1.7,-5.3,2.6,2.8,0.3,1.6,-1.8,6.5,-4.5,3.8,
2024,64,WCC,Saint Mary's,20.0,45.0,WAC,Grand Canyon,,-5.983,-6.163,2.175,1.423,-2.151,-4.551,5.974,10.901,4.728,-6.173,0.147,0.0,-3.0,3.0,-9.375,1.1,-0.8,-17.0,-2.6,-1.8,-3.2,4.4,7.2,-7.2,-4.4,-6.0,0.7,-0.8,1.1,-0.2,-3.4,0.3,13.1,-0.3,-0.6,0.6,4.6,-4.6,-5.974,0.398,0.837,-0.689,23.72,-7.9,0.3,0.02,-0.023,8.265,0.1,,9.8,-4.4,,0.0,15.7,14.2,-34.0,-70.0,-11.0,-39.5,4.0,1.0,5.0,0.0,-4.0,89.47,0.0,-2.3,-0.4,-0.6,2.1,1.8,2.8,-6.4,-4.3,-2.4,-1.8,11.0,1.1,0.6,-0.2,-4.6,
2024,64,B10,Wisconsin,19.0,46.0,SB,James Madison,,-5.356,-4.322,-2.216,6.202,8.218,-1.498,7.7,9.474,7.876,-1.598,0.124,2.0,-8.0,10.0,-28.052,-2.0,5.5,-0.7,-1.9,-0.1,-2.9,-1.5,3.1,-3.1,1.5,-5.3,-1.6,1.6,-1.7,8.5,-3.1,1.8,-6.6,5.2,2.7,-2.7,0.7,-0.7,-4.804,1.156,2.208,-0.454,48.363,5.4,-0.6,-0.023,0.087,27.696,1.8,,5.7,-0.9,,0.0,3.4,6.6,-35.0,-73.0,27.0,-35.0,4.0,9.0,13.0,-1.0,-19.0,74.1,-3.8,-2.3,2.0,0.2,-2.4,-4.2,8.8,-8.1,5.3,6.9,-0.5,8.8,-1.7,-2.7,8.5,-0.7,
2024,64,WCC,Gonzaga,18.0,47.0,Slnd,McNeese St.,,2.982,3.513,2.243,6.964,3.512,-1.738,8.702,12.4,9.945,-2.455,0.163,2.0,-2.0,4.0,-12.236,1.8,-0.5,-9.1,-8.1,-0.2,-6.5,1.2,3.2,-3.2,-1.2,3.0,5.5,-1.2,-3.9,1.0,-2.7,-2.6,0.3,-9.7,2.2,-2.2,11.2,-11.2,3.749,1.654,1.91,-0.488,53.626,3.1,1.3,0.024,0.035,15.01,1.8,,16.8,-8.1,,0.0,29.6,24.9,-39.0,-48.0,-12.0,-40.5,2.0,2.0,4.0,-1.0,-7.0,91.95,1.4,-2.3,0.2,-0.2,11.9,-8.8,4.5,-1.0,3.3,11.0,-2.7,12.3,-3.9,-2.2,1.0,-11.2,
